MD5,SHA1,FileNames
"a4b6f45f30dcf849272d483a039590c4","16017d143846d86946386875affd72dbe14552b2","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[root]\System Volume Information\WPSettings.dat"
"ad1f5b86d07f385bc0390411265f2e60","402e02a86bbc21ca1e9fc817c94780021a20bc36","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[root]\System Volume Information\IndexerVolumeGuid"
"d41d8cd98f00b204e9800998ecf8427e","da39a3ee5e6b4b0d3255bfef95601890afd80709","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[root]\System Volume Information\.goutputstream-ZIP9F3"
"6aa6b0b6ca8abda92bcfcd5e32fe6833","640222b2e0f9569ba09c312b172050155ad48863","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[root]\.Trash-1000\info\dog.jpg.trashinfo"
"5ec4fb9cbdfae4947d2b9a7b76432896","9be16fdd9556df8b33b2e381087f457019a04c1f","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[root]\.Trash-1000\info\CIS27A Proj.trashinfo"
"c6e45069ebbe97e12ea6388317ea68d2","062035dea802d6bada6196a60de1d5de4160e149","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[root]\.Trash-1000\files\dog.jpg"
"06e7defe452baf6403a5f66161fe78d4","a4fe79a233211d3c84f8b519eaca430e5eeb484f","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[root]\.malwareIP.txt"
"e48a5803acbbadf889e70f5b7b51daa1","fcf44a3087a2de7ff08e03aa68c564ebfbb2a7a3","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[root]\Apple_lisa,_personal_computer,_1983_(1985).jpg"
"60edacbfe49cb1f2c4f03c24772ece9c","1f9c0f0e5ac1a5c6b9c365fe5480a5bbcce95075","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[root]\beach1.jpg"
"1a853e1ea47e5c21bafd6e5018002629","9223e230097089a1289ca1076b70382a4702d951","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[root]\beach2.jpg"
"bf0fe73752f2a81092d0eb6dfdf1c81f","725165d6295be123c76c6ab0e979da65784c62ca","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[root]\beach3.jpg"
"fea40508ddf74ecdd2be29538f5bb43d","58377fa35634b0524a02cb92bdac25509ae30482","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[root]\beach4.jpg"
"48706988ab5bfb2412e88cafeca3bfa7","c784df97d2accd1114327a9d0384138b70da9267","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[root]\Computer_History_Museum_(9364487908).jpg"
"ad87f0fee801ac6238d6a02a36a367de","bcdf57cd9358bbc896405ec5faeb45772dfa41a8","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[root]\Cute_dog.jpg"
"e3f22eb91de7ac42c61eab9c8bcce4e4","167e13e85d1ffc50fd6fc4c5b163b40c19bd411a","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[root]\cyber_security_for_beginners_ebook.pdf"
"aa3b1814dbce7c5ab250a54f3210b12e","da7b8527593e7c5ca59075dae6236ced6f3184fd","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[root]\Earth1.jpg"
"fa66f575eed3c768f380cc0e9c076b53","810a0565bc0941074b21b4a1438be9a37e9e52ad","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[root]\Security-Awareness-Memo-Phishing-Advisory.pdf"
"f6152cda384d28a76221ba032fb9ae40","8aa683dc41bfb7bf75db5f8c45e228fe994cad61","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\VBR"
"b4202f7fe985b9648b4676e6f70832bd","d37c2b3927946ed617455b3c5913fcab0bc1af52","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\reserved sectors"
"50c4cc5121cc4e145434b910aaca3fb2","a66a85bfacbdde07ca5f1bbf57d9b737d728dbab","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[unallocated space]\00003"
"e7a69049f57d7cc2c7d02c6ff1749815","0098a9b84f7a7f61d0ba6fb72b79da3b6d10a488","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[unallocated space]\07027"
"e7a69049f57d7cc2c7d02c6ff1749815","0098a9b84f7a7f61d0ba6fb72b79da3b6d10a488","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[unallocated space]\32627"
"81fd7ca6598e2e4561149fbf901111e2","6f00899f3faabef9ece3c45159b22d966e775061","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\[unallocated space]\58227"
"59c5290596d1dd3bc2cc81dd6edec4b5","68d598b1e0821492f48ea34131ae9d9ac31b5fde","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\FAT1"
"59c5290596d1dd3bc2cc81dd6edec4b5","68d598b1e0821492f48ea34131ae9d9ac31b5fde","usb_raw_image.dd\Partition 1 [248MB]\NONAME [FAT16]\FAT2"
